,title,cretic-trochee (-u--x),cretic-trochee 1 res (uuu--x),cretic-trochee 1 res (-uuu-x),cretic-trochee 1 res (-u-uux),double/molossus-cretic pure double-cretic (-u--ux),double/molossus-cretic pure molossus-cretic (----ux),double/molossus-cretic 1 res (uuu--ux),double/molossus-cretic 1 res (-uuu-ux),double/molossus-cretic 1 res (-u-uuux),double/molossus-cretic molossus not chor 1 res (uu---ux),double/molossus-cretic molossus not chor 1 res (--uu-ux),double/molossus-cretic molossus not chor 1 res (---uuux),double/molossus-cretic chor res (-uu--ux),double/molossus-cretic ep res (-u---ux),double trochee (-u-x),double trochee 1 res (uuu-x),double trochee 1 res (-uuux),hypodochmiac (-u-ux),hypodochmiac 1 res (uuu-ux),hypodochmiac 1 res (-uuuux),spondaic (---x),heroic (-uu-x),first paeon (-uux),choriamb trochee (-uu--x),short sequence (uuuuux),misc_clausulae,author
65,in verrem 2 1,163.0,21.0,48.0,26.0,66.0,89.0,11.0,2.0,2.0,23.0,12.0,4.0,16.0,18.0,208.0,6.0,11.0,63.0,0.0,6.0,127.0,19.0,37.0,16.0,5.0,18.0,cicero
66,in verrem 2 2,194.0,35.0,56.0,22.0,95.0,92.0,8.0,6.0,6.0,25.0,16.0,8.0,30.0,17.0,260.0,13.0,3.0,76.0,1.0,3.0,114.0,31.0,46.0,26.0,3.0,24.0,cicero
67,in verrem 2 3,245.0,45.0,66.0,32.0,123.0,113.0,16.0,10.0,3.0,28.0,23.0,18.0,22.0,31.0,426.0,18.0,10.0,84.0,2.0,3.0,168.0,37.0,46.0,20.0,5.0,36.0,cicero
68,in verrem 2 4,215.0,26.0,53.0,22.0,86.0,98.0,9.0,4.0,6.0,25.0,8.0,9.0,22.0,21.0,243.0,7.0,10.0,60.0,1.0,6.0,90.0,28.0,26.0,13.0,1.0,24.0,cicero
69,in verrem 2 5,229.0,31.0,62.0,21.0,90.0,79.0,8.0,1.0,5.0,15.0,4.0,4.0,17.0,15.0,265.0,7.0,15.0,51.0,1.0,4.0,105.0,20.0,26.0,14.0,5.0,23.0,cicero
70,incertorum librorum fragmenta,2.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,cicero
71,laelius de amicitia,98.0,13.0,44.0,13.0,89.0,31.0,11.0,5.0,1.0,6.0,6.0,3.0,11.0,6.0,106.0,3.0,2.0,25.0,1.0,1.0,44.0,7.0,11.0,4.0,2.0,8.0,cicero
72,lucullus,153.0,28.0,55.0,18.0,159.0,85.0,27.0,10.0,4.0,28.0,12.0,6.0,30.0,16.0,184.0,11.0,8.0,86.0,1.0,5.0,106.0,27.0,33.0,8.0,6.0,13.0,cicero
73,orationum depertiarum frr,48.0,8.0,9.0,6.0,20.0,21.0,1.0,2.0,1.0,2.0,2.0,1.0,6.0,7.0,69.0,4.0,5.0,19.0,3.0,1.0,30.0,11.0,14.0,4.0,2.0,11.0,cicero
74,orationum incertarum frr,4.0,1.0,1.0,0.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,cicero
75,orator,149.0,34.0,53.0,19.0,220.0,96.0,29.0,16.0,3.0,28.0,17.0,2.0,25.0,17.0,202.0,14.0,6.0,102.0,1.0,4.0,78.0,28.0,20.0,9.0,2.0,15.0,cicero
76,paradoxa stoicorum,36.0,5.0,9.0,8.0,47.0,23.0,2.0,4.0,1.0,6.0,1.0,2.0,3.0,3.0,56.0,2.0,2.0,26.0,1.0,1.0,24.0,6.0,9.0,3.0,1.0,10.0,cicero
77,philippicae,702.0,95.0,229.0,60.0,582.0,241.0,67.0,16.0,8.0,70.0,24.0,13.0,54.0,52.0,838.0,58.0,15.0,193.0,4.0,12.0,352.0,53.0,109.0,37.0,10.0,66.0,cicero
78,philippicae 1,53.0,9.0,11.0,5.0,38.0,18.0,3.0,0.0,0.0,3.0,2.0,0.0,5.0,5.0,57.0,1.0,3.0,13.0,0.0,0.0,32.0,2.0,5.0,4.0,1.0,4.0,cicero
79,philippicae 10,37.0,1.0,8.0,1.0,28.0,13.0,4.0,1.0,0.0,4.0,0.0,1.0,3.0,2.0,33.0,1.0,0.0,12.0,0.0,0.0,13.0,4.0,4.0,1.0,1.0,5.0,cicero
80,philippicae 11,49.0,4.0,16.0,4.0,53.0,13.0,5.0,2.0,1.0,3.0,2.0,0.0,5.0,8.0,66.0,6.0,1.0,21.0,1.0,1.0,29.0,2.0,5.0,3.0,2.0,3.0,cicero
81,philippicae 12,45.0,6.0,11.0,3.0,45.0,26.0,3.0,1.0,0.0,12.0,4.0,0.0,5.0,6.0,48.0,2.0,0.0,14.0,0.0,2.0,21.0,2.0,8.0,3.0,3.0,4.0,cicero
82,philippicae 13,73.0,9.0,26.0,7.0,71.0,21.0,7.0,1.0,1.0,9.0,0.0,2.0,3.0,3.0,91.0,7.0,0.0,18.0,1.0,1.0,30.0,8.0,14.0,5.0,0.0,9.0,cicero
83,philippicae 14,32.0,6.0,16.0,1.0,34.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0,4.0,59.0,2.0,0.0,5.0,0.0,0.0,19.0,1.0,1.0,1.0,0.0,4.0,cicero
84,philippicae 2,160.0,27.0,66.0,21.0,122.0,51.0,16.0,5.0,0.0,14.0,7.0,5.0,15.0,8.0,202.0,21.0,7.0,39.0,1.0,6.0,87.0,15.0,19.0,5.0,1.0,20.0,cicero
85,philippicae 3,42.0,9.0,19.0,2.0,45.0,15.0,5.0,2.0,1.0,7.0,0.0,0.0,0.0,1.0,56.0,5.0,0.0,9.0,0.0,1.0,15.0,2.0,7.0,3.0,0.0,3.0,cicero
86,philippicae 4,22.0,2.0,5.0,2.0,19.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,cicero
87,philippicae 5,70.0,10.0,18.0,5.0,47.0,20.0,6.0,2.0,3.0,4.0,1.0,3.0,4.0,6.0,66.0,5.0,3.0,25.0,1.0,1.0,35.0,6.0,13.0,7.0,1.0,8.0,cicero
88,philippicae 6,34.0,2.0,10.0,1.0,18.0,7.0,4.0,0.0,0.0,4.0,1.0,1.0,1.0,2.0,35.0,1.0,1.0,6.0,0.0,0.0,11.0,2.0,9.0,0.0,1.0,0.0,cicero
89,philippicae 7,23.0,1.0,6.0,2.0,24.0,11.0,3.0,1.0,0.0,3.0,2.0,0.0,4.0,1.0,33.0,3.0,0.0,9.0,0.0,0.0,20.0,2.0,4.0,1.0,0.0,5.0,cicero
90,philippicae 8,44.0,5.0,14.0,5.0,27.0,23.0,5.0,0.0,1.0,4.0,3.0,1.0,3.0,6.0,44.0,3.0,0.0,14.0,0.0,0.0,34.0,6.0,16.0,3.0,0.0,1.0,cicero
91,philippicae 9,18.0,4.0,3.0,1.0,11.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,21.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,cicero
92,philosophicorum librorum frr,5.0,2.0,1.0,1.0,6.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,12.0,0.0,0.0,6.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,1.0,cicero
93,post reditum ad populum,25.0,1.0,11.0,1.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,33.0,2.0,1.0,3.0,0.0,0.0,7.0,3.0,0.0,2.0,0.0,0.0,cicero
94,post reditum in senatu,37.0,9.0,14.0,4.0,13.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,55.0,2.0,1.0,3.0,0.0,0.0,19.0,2.0,1.0,2.0,0.0,1.0,cicero
95,pro archia,27.0,3.0,10.0,3.0,9.0,7.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,45.0,3.0,0.0,4.0,0.0,1.0,10.0,1.0,1.0,0.0,0.0,1.0,cicero
96,pro balbo,76.0,5.0,23.0,7.0,26.0,15.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,3.0,120.0,2.0,3.0,5.0,0.0,1.0,18.0,2.0,7.0,0.0,0.0,0.0,cicero
97,pro caecina,97.0,15.0,26.0,11.0,44.0,49.0,9.0,2.0,1.0,7.0,10.0,3.0,10.0,6.0,136.0,8.0,3.0,29.0,1.0,3.0,73.0,20.0,25.0,3.0,0.0,14.0,cicero
98,pro caelio,110.0,9.0,33.0,8.0,45.0,26.0,4.0,3.0,0.0,8.0,3.0,2.0,8.0,9.0,153.0,6.0,3.0,15.0,1.0,3.0,30.0,9.0,15.0,0.0,4.0,7.0,cicero
99,pro cluentio,247.0,23.0,64.0,23.0,69.0,80.0,18.0,9.0,7.0,14.0,6.0,16.0,20.0,20.0,284.0,10.0,6.0,64.0,3.0,4.0,127.0,23.0,21.0,11.0,4.0,26.0,cicero
100,pro flacco,120.0,19.0,49.0,13.0,64.0,53.0,6.0,6.0,1.0,12.0,7.0,5.0,12.0,13.0,221.0,7.0,6.0,31.0,1.0,0.0,66.0,12.0,22.0,4.0,3.0,20.0,cicero
101,pro fonteio,48.0,7.0,18.0,3.0,12.0,15.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,7.0,51.0,1.0,1.0,10.0,1.0,1.0,20.0,3.0,4.0,3.0,0.0,5.0,cicero
102,pro lege manilia,87.0,6.0,31.0,5.0,13.0,10.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0,5.0,84.0,2.0,0.0,5.0,0.0,0.0,22.0,3.0,2.0,1.0,0.0,0.0,cicero
103,pro ligario,36.0,6.0,20.0,1.0,30.0,18.0,4.0,2.0,0.0,2.0,2.0,1.0,5.0,5.0,53.0,1.0,2.0,11.0,0.0,1.0,21.0,4.0,7.0,5.0,1.0,12.0,cicero
104,pro marcello,21.0,4.0,8.0,1.0,28.0,7.0,8.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,34.0,1.0,0.0,15.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,1.0,cicero
105,pro milone,97.0,5.0,31.0,10.0,70.0,46.0,5.0,4.0,0.0,13.0,8.0,3.0,14.0,5.0,152.0,9.0,1.0,26.0,1.0,1.0,53.0,15.0,11.0,6.0,2.0,10.0,cicero
106,pro murena,93.0,16.0,44.0,16.0,48.0,57.0,6.0,2.0,2.0,14.0,7.0,6.0,16.0,5.0,144.0,6.0,3.0,30.0,0.0,2.0,51.0,7.0,16.0,3.0,2.0,12.0,cicero
107,pro plancio,121.0,15.0,42.0,10.0,46.0,30.0,10.0,2.0,1.0,12.0,6.0,6.0,13.0,5.0,210.0,7.0,6.0,14.0,0.0,1.0,41.0,15.0,16.0,3.0,0.0,8.0,cicero
108,pro quinctio,75.0,15.0,15.0,18.0,50.0,42.0,2.0,1.0,3.0,18.0,4.0,3.0,16.0,14.0,119.0,8.0,5.0,33.0,1.0,1.0,75.0,16.0,16.0,8.0,1.0,28.0,cicero
109,pro rabirio perduellionis reo,32.0,3.0,8.0,1.0,5.0,18.0,0.0,1.0,0.0,2.0,3.0,1.0,4.0,2.0,37.0,2.0,0.0,6.0,0.0,0.0,16.0,3.0,4.0,0.0,0.0,1.0,cicero
110,pro rabirio postumo,36.0,9.0,9.0,4.0,31.0,24.0,2.0,0.0,1.0,6.0,4.0,2.0,9.0,6.0,56.0,0.0,1.0,14.0,0.0,2.0,34.0,7.0,8.0,4.0,3.0,4.0,cicero
111,pro rege deiotaro,50.0,4.0,14.0,1.0,40.0,21.0,9.0,3.0,0.0,1.0,0.0,1.0,4.0,3.0,49.0,2.0,0.0,9.0,0.0,0.0,21.0,2.0,8.0,2.0,1.0,2.0,cicero
112,pro roscio amerino,79.0,28.0,35.0,19.0,60.0,72.0,14.0,5.0,0.0,18.0,10.0,10.0,17.0,15.0,181.0,12.0,8.0,36.0,2.0,4.0,80.0,23.0,31.0,14.0,8.0,29.0,cicero
113,pro roscio comoedo,54.0,9.0,11.0,11.0,18.0,23.0,2.0,1.0,5.0,6.0,6.0,3.0,3.0,9.0,73.0,8.0,2.0,15.0,0.0,2.0,93.0,14.0,35.0,8.0,3.0,14.0,cicero
114,pro scauro,40.0,3.0,14.0,3.0,14.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,52.0,1.0,2.0,1.0,1.0,1.0,20.0,1.0,6.0,1.0,1.0,8.0,cicero
115,pro sestio,199.0,19.0,50.0,16.0,57.0,45.0,9.0,4.0,0.0,7.0,3.0,2.0,8.0,7.0,238.0,5.0,4.0,30.0,3.0,2.0,109.0,19.0,16.0,9.0,2.0,11.0,cicero
116,pro sulla,106.0,6.0,28.0,11.0,42.0,38.0,2.0,1.0,3.0,11.0,3.0,2.0,5.0,7.0,126.0,6.0,3.0,15.0,0.0,2.0,47.0,7.0,11.0,8.0,1.0,8.0,cicero
117,pro tullio,15.0,8.0,6.0,6.0,13.0,15.0,2.0,1.0,1.0,7.0,2.0,2.0,7.0,5.0,47.0,2.0,2.0,13.0,0.0,0.0,28.0,2.0,15.0,2.0,1.0,11.0,cicero
118,rhetorica ad herennium,304.0,57.0,74.0,55.0,68.0,97.0,13.0,15.0,15.0,31.0,18.0,19.0,23.0,40.0,714.0,42.0,29.0,114.0,7.0,15.0,368.0,92.0,131.0,55.0,8.0,38.0,cicero
119,timaeus,29.0,4.0,12.0,1.0,37.0,11.0,3.0,2.0,0.0,4.0,4.0,2.0,3.0,2.0,42.0,4.0,0.0,11.0,0.0,0.0,9.0,5.0,2.0,2.0,0.0,1.0,cicero
120,topica,54.0,12.0,18.0,12.0,80.0,44.0,6.0,5.0,2.0,8.0,6.0,5.0,14.0,13.0,103.0,8.0,5.0,31.0,4.0,2.0,60.0,15.0,21.0,7.0,5.0,19.0,cicero
121,tusculanae disputationes,411.0,69.0,156.0,50.0,462.0,221.0,64.0,29.0,16.0,76.0,25.0,19.0,54.0,56.0,618.0,32.0,18.0,216.0,9.0,8.0,274.0,96.0,116.0,35.0,13.0,65.0,cicero
